question_id,option_id,option_label,is_missing
2024-054_q40,1,Yes,false
2024-054_q40,2,No,false
2024-054_q40,3,Prefer not to answer,false
2025-040_q_10,1,Strongly agree,false
2025-040_q_10,2,Somewhat agree,false
2025-040_q_10,3,Somewhat disagree,false
2025-040_q_10,4,Strongly disagree,false
2025-040_q_11,1,Strongly agree,false
2025-040_q_11,2,Somewhat agree,false
2025-040_q_11,3,Somewhat disagree,false
2025-040_q_11,4,Strongly disagree,false
2025-040_q_12,1,Strongly disagree,false
2025-040_q_12,2,Disagree,false
2025-040_q_12,3,Neither agree nor disagree,false
2025-040_q_12,4,Agree,false
2025-040_q_12,5,Strongly Agree,false
2025-040_q_12,6,Don’t Know,false
2025-040_q_13,1,Strongly agree,false
2025-040_q_13,2,Somewhat agree,false
2025-040_q_13,3,Neither agree nor disagree,false
2025-040_q_13,4,Somewhat disagree,false
2025-040_q_13,5,Strongly disagree,false
2025-040_q_13,6,Don’t know,false
2025-040_q_14,1,Favor,false
2025-040_q_14,2,Oppose,false
2025-040_q_15,1,Not a threat at all,false
2025-040_q_15,2,A minor threat,false
2025-040_q_15,3,A moderate threat,false
2025-040_q_15,4,A significant threat,false
2025-040_q_15,5,An extreme threat,false
2025-040_q_16,1,Strongly disagree,false
2025-040_q_16,2,Somewhat disagree,false
2025-040_q_16,3,Neither agree or disagree,false
2025-040_q_16,4,Somewhat agree,false
2025-040_q_16,5,Strongly agree,false
2025-040_q_17,1,Very important,false
2025-040_q_17,2,Somewhat important,false
2025-040_q_17,3,Not very important,false
2025-040_q_17,4,Not important at all,false
2025-040_q_18,1,I would prefer it if elected officials I agree with were civil and respectful to those I disagree with,false
2025-040_q_18,2,I would prefer it if elected officials I agree with were uncivil and attack those I disagree with,false
2025-040_q_18,3,There are no elected officials I agree with,false
2025-040_q_18,4,I’m not sure,false
2025-040_q_19,1,Much less free than others,false
2025-040_q_19,2,Somewhat less free than others,false
2025-040_q_19,3,About as free as others,false
2025-040_q_19,4,Somewhat more free than others,false
2025-040_q_19,5,Much more free than others,false
2025-040_q_2,1,Strongly disagree,false
2025-040_q_2,2,Somewhat disagree,false
2025-040_q_2,3,Neither agree or disagree,false
2025-040_q_2,4,Somewhat agree,false
2025-040_q_2,5,Strongly agree,false
2025-040_q_20,1,Strongly agree,false
2025-040_q_20,2,Somewhat agree,false
2025-040_q_20,3,Neither agree nor disagree,false
2025-040_q_20,4,Somewhat disagree,false
2025-040_q_20,5,Strongly disagree,false
2025-040_q_21,1,Strongly disagree,false
2025-040_q_21,2,Disagree,false
2025-040_q_21,3,Neither agree nor disagree,false
2025-040_q_21,4,Agree,false
2025-040_q_21,5,Strongly agree,false
2025-040_q_22,1,One who opposes cuts to Medicaid and Medicare that Republicans are using to pay for tax cuts to billionaires,false
2025-040_q_22,2,One who opposes cuts to Medicaid and Medicare and support cutting taxes for the middle class,false
2025-040_q_22,3,I would not be willing to support a Democrat,false
2025-040_q_23,1,Strongly support,false
2025-040_q_23,2,Somewhat support,false
2025-040_q_23,3,Somewhat oppose,false
2025-040_q_23,4,Strongly oppose,false
2025-040_q_24,1,Speaker of the House,false
2025-040_q_24,2,President Pro Tempore of the Senate,false
