question_id,title,topic_primary,url_slug,source_url,base_unweighted_n,base_weighted_n,moe_question_level,is_multiselect,options_count
2024-054_q40,"Do you have a physical, mental, emotional, neurological, developmental, or chronic condition or challenge that can affect your daily activities?",Verasight AAPOR Omnibus Survey #2024-054,do-you-have-a-physical-mental-emotional-neurological-developmental-or-chronic-condition-or-challenge-that-can-affect-your-daily-activities,https://reports.verasight.io/reports/verasight-aapor-omnibus-survey-2024-054#do-you-have-a-physical-mental-emotional-neurological-developmental-or-chronic-condition-or-challenge-that-can-affect-your-daily-activities,1000,1000.0000000000307,+/- 3.1%,false,3
2025-040_q_10,To what extent do you agree or disagree with the following statement? I feel personally motivated to address antisemitism.,Verasight AAPOR Omnibus Survey #2025-040,to-what-extent-do-you-agree-or-disagree-with-the-following-statement-i-feel-personally-motivated-to-address-antisemitism,https://reports.verasight.io/reports/verasight-aapor-omnibus-survey-2025-040#to-what-extent-do-you-agree-or-disagree-with-the-following-statement-i-feel-personally-motivated-to-address-antisemitism,1000,1000.0000000000307,+/- 3.1%,false,4
2025-040_q_11,To what extent do you agree or disagree with the following statement? Jews complain about antisemitism too much.,Verasight AAPOR Omnibus Survey #2025-040,to-what-extent-do-you-agree-or-disagree-with-the-following-statement-jews-complain-about-antisemitism-too-much,https://reports.verasight.io/reports/verasight-aapor-omnibus-survey-2025-040#to-what-extent-do-you-agree-or-disagree-with-the-following-statement-jews-complain-about-antisemitism-too-much,1000,1000.0000000000307,+/- 3.1%,false,4
2025-040_q_12,Do you agree or disagree with the following statement? The U.S. is on equal standing with its trade partners in terms of trade deficit.,Verasight AAPOR Omnibus Survey #2025-040,do-you-agree-or-disagree-with-the-following-statement-the-u-s-is-on-equal-standing-with-its-trade-partners-in-terms-of-trade-deficit,https://reports.verasight.io/reports/verasight-aapor-omnibus-survey-2025-040#do-you-agree-or-disagree-with-the-following-statement-the-u-s-is-on-equal-standing-with-its-trade-partners-in-terms-of-trade-deficit,1000,1000.0000000000307,+/- 3.1%,false,6
2025-040_q_13,Do you agree or disagree that Canada treats the United States fairly when it comes to trade?,Verasight AAPOR Omnibus Survey #2025-040,do-you-agree-or-disagree-that-canada-treats-the-united-states-fairly-when-it-comes-to-trade,https://reports.verasight.io/reports/verasight-aapor-omnibus-survey-2025-040#do-you-agree-or-disagree-that-canada-treats-the-united-states-fairly-when-it-comes-to-trade,1000,1000.0000000000307,+/- 3.1%,false,6
2025-040_q_14,Do you favor or oppose placing new limits on imports?,Verasight AAPOR Omnibus Survey #2025-040,do-you-favor-or-oppose-placing-new-limits-on-imports,https://reports.verasight.io/reports/verasight-aapor-omnibus-survey-2025-040#do-you-favor-or-oppose-placing-new-limits-on-imports,1000,1000.0000000000307,+/- 3.1%,false,2
2025-040_q_15,"In your opinion, how much of a threat is China to the United States?",Verasight AAPOR Omnibus Survey #2025-040,in-your-opinion-how-much-of-a-threat-is-china-to-the-united-states,https://reports.verasight.io/reports/verasight-aapor-omnibus-survey-2025-040#in-your-opinion-how-much-of-a-threat-is-china-to-the-united-states,1000,1000.0000000000307,+/- 3.1%,false,5
2025-040_q_16,"Do you agree or disagree with the following statement? By reducing carbon emissions, the U.S. risks falling behind other world powers.",Verasight AAPOR Omnibus Survey #2025-040,do-you-agree-or-disagree-with-the-following-statement-by-reducing-carbon-emissions-the-u-s-risks-falling-behind-other-world-powers,https://reports.verasight.io/reports/verasight-aapor-omnibus-survey-2025-040#do-you-agree-or-disagree-with-the-following-statement-by-reducing-carbon-emissions-the-u-s-risks-falling-behind-other-world-powers,1000,1000.0000000000307,+/- 3.1%,false,5
2025-040_q_17,Participating in politics is…,Verasight AAPOR Omnibus Survey #2025-040,participating-in-politics-is,https://reports.verasight.io/reports/verasight-aapor-omnibus-survey-2025-040#participating-in-politics-is,1000,1000.0000000000307,+/- 3.1%,false,4
2025-040_q_18,Would you prefer it if elected officials you agree with are civil and respectful or would you like to see them be uncivil and attack those you disagree with?,Verasight AAPOR Omnibus Survey #2025-040,would-you-prefer-it-if-elected-officials-you-agree-with-are-civil-and-respectful-or-would-you-like-to-see-them-be-uncivil-and-attack-those-you-disagree-with,https://reports.verasight.io/reports/verasight-aapor-omnibus-survey-2025-040#would-you-prefer-it-if-elected-officials-you-agree-with-are-civil-and-respectful-or-would-you-like-to-see-them-be-uncivil-and-attack-those-you-disagree-with,1000,1000.0000000000307,+/- 3.1%,false,4
